Lap,Segment_ID,Phase_Type,Target_Speed_kmh,Speed_In_Tol_pct,Accel_In_Tol_pct,Speed_RMSE_kmh,Accel_RMSE_mps2,Max_Speed_Error_kmh,Max_Accel_Error_mps2,Reference_Accel_mps2,Measured_Accel_mps2,Stop_Error_m,Samples,Verdict,Reason
1,1,ACCEL,30,92.509363,80.97166,0.708782,0.130556,3.42,0.5,0.5,0.467992,,267,OK,
1,2,ACCEL,50,95.666667,93.928571,0.440184,0.045045,1.2,0.1442,0.555556,0.544232,,300,OK,
1,3,DECEL,30,43.005181,35.83815,4.340568,0.354738,9.02,1.2215,-0.6,-0.378043,,193,CHECK,SPEED · ACCEL
1,4,DECEL,0,53.39233,0,5.577178,0.217506,12.954,0.3299,-0.6,-0.383489,,339,CHECK,SPEED · ACCEL
